City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nicoya,10.1483,-85.452,86.34,67,47,9.06,CR,1689867464
84,puerto san jose,13.9256,-90.8244,86.38,61,12,3.13,GT,1689867464
85,labrador city,52.9463,-66.9114,58.91,72,100,5.75,CA,1689867388
86,wailua homesteads,22.0669,-159.378,77.79,89,20,19.57,US,1689867464
87,malabar,-33.9667,151.25,53.78,47,0,3.44,AU,1689867397
88,nahiyat al fuhud,30.9697,46.7228,108.77,5,0,11.16,IQ,1689867465
89,mascota,20.5167,-104.7833,73.31,57,88,1.21,MX,1689867465
90,hawaiian paradise park,19.5933,-154.9731,73.04,98,100,0.0,US,1689867465
91,bac lieu,9.285,105.7244,76.69,87,97,11.83,VN,1689867465
92,afaahiti,-17.75,-149.2833,73.27,66,55,18.14,PF,1689867465
93,puerto ayora,-0.7393,-90.3518,82.36,93,72,5.01,EC,1689867465
94,tofol,5.3248,163.0078,82.74,78,100,16.58,FM,1689867465
95,usogorsk,63.4106,48.6872,63.91,96,93,8.3,RU,1689867465
96,alesund,62.4723,6.1549,61.09,79,75,8.05,NO,1689867227
97,vila velha,-20.3297,-40.2925,75.15,84,75,16.11,BR,1689867465
98,gebeit,21.0667,36.3167,96.58,17,9,19.15,SD,1689867466
99,georgetown,5.4112,100.3354,84.15,81,20,4.61,MY,1689867420
100,kapuskasing,49.4169,-82.4331,60.8,94,100,4.61,CA,1689867404
101,ayorou,14.7308,0.9174,102.76,27,24,12.12,NE,1689867466
102,san antonio de pale,-1.4014,5.6325,74.89,78,26,11.52,GQ,1689867466
103,weno,7.4515,151.8468,82.35,89,100,4.61,FM,1689867264
104,el granada,37.5027,-122.4694,69.8,89,100,3.44,US,1689867466
105,bonthe,7.5264,-12.505,81.66,77,98,11.27,SL,1689867466
106,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,6.71,RU,1689867466
107,puerto baquerizo moreno,-0.9,-89.6,77.99,89,20,12.66,EC,1689867466
108,sao joao da barra,-21.6403,-41.0511,68.09,71,100,15.99,BR,1689867246
109,thompson,55.7435,-97.8558,68.16,73,40,4.61,CA,1689867467
110,tazovsky,67.4667,78.7,63.68,83,76,3.89,RU,1689867397
111,uturoa,-16.7333,-151.4333,75.99,64,28,18.32,PF,1689867467
112,lihue,21.9789,-159.3672,78.39,85,20,19.57,US,1689867467
113,priob'ye,62.5206,65.5964,70.95,67,35,7.07,RU,1689867467
114,port elizabeth,-33.918,25.5701,55.69,54,75,6.91,ZA,1689867467
115,sola,-13.8833,167.55,75.87,100,100,4.61,VU,1689867467
116,arkhara,49.4212,130.0842,66.87,94,67,5.66,RU,1689867466
117,sao miguel do iguacu,-25.3481,-54.2378,67.08,55,96,7.78,BR,1689867468
118,smithers,54.7804,-127.1743,59.32,77,0,4.61,CA,1689867210
119,hamilton,39.1834,-84.5333,83.43,78,100,4.61,US,1689867176
120,pontianak,-0.0333,109.3333,78.78,88,20,2.3,ID,1689867468
121,moroto,2.5345,34.6666,75.6,48,88,6.85,UG,1689867468
122,teyateyaneng,-29.1472,27.7489,44.73,65,55,10.45,LS,1689867468
123,masterton,-40.9597,175.6575,49.89,90,100,11.68,NZ,1689867468
124,demidov,55.2706,31.515,63.21,64,89,2.93,RU,1689867468
125,el calafate,-50.3408,-72.2768,37.99,94,100,1.54,AR,1689867468
126,asosa,10.0667,34.5333,63.97,95,99,1.86,ET,1689867469
127,floro,61.5996,5.0328,55.47,88,75,5.75,NO,1689867469
128,atafu village,-8.5421,-172.5159,82.35,79,45,9.57,TK,1689867469
129,amalfi,6.9102,-75.0776,80.55,37,8,6.8,CO,1689867469
130,qamdo,31.1667,97.2333,43.21,69,81,3.38,CN,1689867469
131,ugoofaaru,5.6667,73.0,83.19,79,100,15.99,MV,1689867419
132,arkhangel'sk,64.5401,40.5433,71.46,71,76,7.25,RU,1689867469
133,vila franca do campo,37.7167,-25.4333,72.01,65,100,2.17,PT,1689867469
134,chilliwack,49.1747,-121.9443,80.17,63,0,1.14,CA,1689867469
135,whangarei,-35.7317,174.3239,50.02,97,56,1.7,NZ,1689867441
136,whitehorse,60.7161,-135.0538,57.09,61,75,3.0,CA,1689867209
137,nar'yan-mar,67.6713,53.087,60.94,82,100,16.67,RU,1689867470
138,lorengau,-2.0226,147.2712,80.67,81,11,8.3,PG,1689867470
139,avarua,-21.2078,-159.775,68.05,64,75,2.3,CK,1689867470
140,kayangel,8.0823,134.7173,83.57,79,100,21.63,PW,1689867470
141,rawson,-43.3002,-65.1023,60.26,54,54,22.1,AR,1689867470
142,stanley,54.868,-1.6985,63.79,81,98,5.93,GB,1689867274
143,merizo village,13.2658,144.6691,82.96,88,100,6.91,GU,1689867470
144,natal,-5.795,-35.2094,84.85,54,40,23.02,BR,1689867227
145,aasiaat,68.7098,-52.8699,38.28,99,100,9.24,GL,1689867471
146,barra da estiva,-13.6261,-41.3269,69.17,54,99,15.37,BR,1689867471
147,hultsfred,57.4882,15.8436,62.13,63,80,8.99,SE,1689867471
148,guerrero negro,27.9769,-114.0611,72.43,69,96,11.21,MX,1689867471
149,luganville,-15.5333,167.1667,75.45,86,99,10.47,VU,1689867471
150,freetown,8.484,-13.2299,83.91,79,40,10.36,SL,1689867471
151,katsuura,35.1333,140.3,74.07,91,4,10.09,JP,1689867471
152,lebu,-37.6167,-73.65,55.08,94,100,24.96,CL,1689867471
153,invercargill,-46.4,168.35,38.28,84,5,9.64,NZ,1689867258
154,fortuna,40.5982,-124.1573,57.65,98,100,6.91,US,1689867472
155,motueka,-41.1333,173.0167,45.88,85,100,8.21,NZ,1689867472
156,dongcun,36.7767,121.1597,72.86,88,14,4.59,CN,1689867472
157,isafjordur,66.0755,-23.124,48.24,87,20,9.22,IS,1689867472
158,brooks,50.5834,-111.8851,69.78,52,75,2.3,CA,1689867472
159,jackson,42.4165,-122.8345,73.0,61,0,1.01,US,1689867472
160,behshahr,36.6923,53.5526,82.35,64,41,4.25,IR,1689867472
161,port mathurin,-19.6833,63.4167,74.14,68,9,19.84,MU,1689867472
162,nikolayevsk-on-amure,53.1406,140.73,61.29,99,57,3.94,RU,1689867473
163,praia da vitoria,38.7333,-27.0667,75.45,78,40,5.88,PT,1689867473
164,yuzhno-kurilsk,44.0306,145.8556,54.9,94,4,5.21,RU,1689867473
165,santana,-0.0583,-51.1817,87.98,70,40,8.05,BR,1689867473
166,hexham,54.9699,-2.104,65.21,68,97,12.33,GB,1689867473
167,fuling,29.7022,107.3919,77.79,94,100,2.44,CN,1689867473
168,sao jose da coroa grande,-8.8978,-35.1478,78.91,70,49,16.96,BR,1689867451
169,olonkinbyen,70.9221,-8.7187,42.15,85,100,2.15,SJ,1689867473
170,cerritos,33.8583,-118.0648,88.72,75,20,3.44,US,1689867317
171,enewetak,11.3474,162.3373,83.37,80,43,15.41,MH,1689867474
172,yokadouma,3.5167,15.05,76.95,77,99,3.94,CM,1689867474
173,la passe,45.5549,-0.8967,80.83,57,92,13.4,FR,1689867407
174,necochea,-38.5473,-58.7368,53.42,60,98,17.13,AR,1689867474
175,tolanaro,-25.0319,46.9987,71.67,88,20,2.3,MG,1689867474
176,hilo,19.7297,-155.09,73.26,99,100,5.01,US,1689867474
177,kristiansund,63.1115,7.732,59.65,58,40,10.36,NO,1689867474
178,polva,58.0603,27.0694,66.02,48,100,9.06,EE,1689867474
179,hays,30.0502,-98.0336,90.27,62,11,5.99,US,1689867229
180,el porvenir,13.7617,-87.3458,81.73,44,23,6.87,HN,1689867475
181,udachny,66.4167,112.4,60.66,62,100,3.69,RU,1689867475
182,skelleftea,64.7507,20.9528,64.0,95,75,6.91,SE,1689867475
183,selfoss,63.9331,-20.9971,66.04,69,96,10.42,IS,1689867475
184,six-fours-les-plages,43.0938,5.84,92.71,67,0,11.99,FR,1689867475
185,valparaiso,-33.0393,-71.6273,60.01,90,100,3.44,CL,1689867371
186,alice springs,-23.7,133.8833,49.55,66,16,4.61,AU,1689867475
187,valley city,46.9233,-98.0032,68.52,77,0,11.5,US,1689867302
188,strathmore,51.0501,-113.3852,70.36,57,70,6.91,CA,1689867475
189,kerikeri,-35.2268,173.9474,46.9,94,6,1.9,NZ,1689867256
190,eyl,7.9803,49.8164,77.97,77,65,26.75,SO,1689867476
191,sandnessjoen,66.0217,12.6316,61.32,82,75,6.91,NO,1689867476
192,valdivia,-39.8142,-73.2459,55.49,97,100,11.45,CL,1689867335
